user_id,item_id,rating
1,3,3.5
1,16,4.5
1,33,4.0
1,18,2.5
1,26,3.0
1,6,3.0
1,14,4.0
1,31,3.0
2,21,4.0
2,12,1.5
2,16,5.0
2,9,4.5
2,8,4.5
2,5,3.5
2,25,3.5
2,40,4.5
2,14,5.0
2,23,4.0
3,9,4.5
3,22,3.0
3,32,3.0
3,12,2.5
3,20,3.0
3,8,4.0
4,27,3.0
4,31,2.5
4,19,2.5
4,12,1.0
4,32,2.5
4,29,2.5
4,20,4.0
5,7,5.0
5,20,2.0
5,25,2.0
5,40,3.0
5,34,3.5
5,10,2.5
5,17,3.0
6,11,3.5
6,35,3.5
6,27,3.0
6,12,2.0
6,37,4.5
6,14,3.0
6,19,2.5
6,30,5.0
7,39,1.5
7,35,2.5
7,11,2.5
7,34,3.0
7,13,5.0
7,7,5.0
8,32,2.5
8,29,1.5
8,6,3.0
8,16,3.5
8,14,4.5
8,7,5.0
8,5,2.5
8,27,3.0
8,18,2.0
9,31,3.5
9,21,3.5
9,33,4.0
9,22,3.0
9,27,3.5
9,16,4.5
9,13,3.0
9,25,3.0
9,38,3.5
9,29,3.0
9,28,5.0
10,35,4.0
10,24,4.0
10,14,4.5
10,39,3.0
10,34,3.5
10,32,3.5
10,31,2.0
10,40,4.0
10,1,5.0
10,9,5.0
10,16,5.0
10,7,5.0
10,29,3.0
11,30,3.5
11,27,3.0
11,23,3.5
11,25,3.0
11,37,4.0
11,19,3.0
11,20,2.5
11,34,3.5
11,14,4.0
11,17,3.5
11,11,4.0
12,33,2.0
12,19,2.5
12,11,2.0
12,9,4.5
12,25,2.0
12,22,2.5
12,3,4.5
13,32,4.0
13,34,4.0
13,14,3.5
13,5,3.5
13,19,3.5
13,33,5.0
14,21,3.0
14,11,3.0
14,18,2.0
14,14,3.5
14,32,2.5
14,10,2.5
15,11,4.0
15,25,3.0
15,20,3.0
15,17,4.0
15,16,4.5
15,3,4.0
15,28,4.5
15,21,3.5
15,29,3.0
15,26,3.0
15,34,4.0
15,23,2.5
15,30,3.5
16,14,5.0
16,7,5.0
16,10,4.0
16,28,5.0
16,22,3.5
16,25,3.5
17,18,2.0
17,20,3.0
17,32,2.5
17,17,3.5
17,40,4.0
17,6,2.0
17,38,3.0
17,36,3.5
17,27,3.5
18,11,4.0
18,37,3.5
18,35,3.5
18,29,2.0
18,3,4.0
18,8,4.0
19,39,2.5
19,16,3.5
19,8,3.0
19,15,2.0
19,33,3.0
19,28,3.5
19,9,4.5
20,6,3.0
20,36,3.0
20,5,3.0
20,8,3.5
20,13,3.0
20,24,3.0
20,27,3.0
20,9,3.5
20,29,2.5
21,30,3.0
21,6,2.0
21,35,4.5
21,40,3.5
21,32,2.0
21,33,4.0
21,14,3.5
21,20,3.5
21,26,2.5
21,16,4.0
22,37,3.5
22,29,1.5
22,10,2.0
22,2,3.0
22,36,2.0
22,23,2.0
22,9,4.0
22,20,3.0
22,16,3.5
22,19,1.5
22,14,3.5
23,27,3.0
23,6,2.0
23,9,4.0
23,40,3.0
23,37,3.0
23,22,4.0
23,29,2.5
23,21,3.0
24,10,2.0
24,38,3.0
24,24,3.0
24,13,2.5
24,37,3.0
24,1,4.5
24,22,2.5
24,9,3.5
24,11,4.0
25,9,5.0
25,11,4.5
25,20,3.0
25,32,4.0
25,3,4.5
25,29,3.0
25,39,3.0
25,2,5.0
25,18,5.0
25,6,3.5
25,33,5.0
25,15,2.5
25,40,4.5
25,26,3.0
26,6,3.5
26,5,2.5
26,12,1.0
26,15,3.5
26,33,4.5
26,28,5.0
27,30,4.5
27,14,3.5
27,1,5.0
27,13,4.0
27,19,3.0
27,18,3.5
27,11,4.0
27,29,2.5
28,20,3.0
28,23,3.0
28,19,2.0
28,28,4.5
28,25,2.5
28,5,2.0
28,2,3.5
28,26,2.0
28,18,2.0
29,16,4.0
29,37,3.5
29,17,3.5
29,40,4.0
29,22,2.5
29,18,3.5
29,11,3.5
30,2,3.0
30,39,3.5
30,38,3.0
30,19,3.5
30,10,3.5
30,34,1.5
31,22,1.5
31,3,4.0
31,9,4.5
31,2,4.0
31,32,2.5
31,36,2.5
31,14,4.5
31,23,2.0
31,13,3.5
31,17,3.0
31,34,3.5
31,18,3.5
31,26,3.0
32,39,3.5
32,25,3.0
32,5,4.0
32,37,4.0
32,27,3.0
32,24,2.5
32,36,1.5
32,8,3.0
32,34,4.0
32,1,4.5
32,22,2.5
32,9,2.5
32,29,2.0
33,16,3.0
33,37,2.5
33,1,4.5
33,11,4.0
33,25,1.5
33,23,3.5
34,16,3.5
34,3,4.5
34,13,2.0
34,37,4.5
34,20,4.5
34,5,1.0
34,7,3.5
34,24,3.0
34,18,1.5
35,28,4.0
35,29,2.5
35,24,4.0
35,21,3.5
35,39,3.0
35,22,3.0
36,31,3.0
36,33,3.5
36,14,4.5
36,15,3.0
36,12,2.0
36,34,3.5
36,19,2.5
36,1,3.0
36,32,2.5
36,2,4.5
36,36,3.0
36,21,3.5
36,3,4.5
37,14,3.0
37,23,2.5
37,18,3.5
37,29,2.5
37,9,5.0
37,5,4.0
38,27,3.5
38,2,5.0
38,10,4.0
38,11,3.5
38,35,4.5
38,12,2.5
38,28,4.0
38,4,2.5
39,17,3.0
39,35,3.5
39,14,3.0
39,33,3.5
39,37,3.0
39,7,4.0
40,21,2.5
40,15,1.5
40,27,2.5
40,17,3.0
40,7,4.5
40,38,2.5
41,16,4.0
41,3,3.0
41,11,4.0
41,10,3.0
41,2,3.5
41,33,4.0
41,18,4.5
41,4,3.5
41,5,3.5
41,40,4.0
41,32,3.5
42,24,2.5
42,38,4.0
42,39,2.5
42,18,2.5
42,17,5.0
42,6,3.5
42,8,3.5
42,30,4.5
42,22,3.5
42,28,4.5
42,4,3.5
43,39,3.0
43,31,2.5
43,33,3.5
43,14,4.5
43,10,3.0
43,37,4.0
44,29,2.5
44,14,4.5
44,5,4.5
44,24,3.5
44,37,4.0
44,20,3.5
44,2,5.0
44,22,2.5
44,8,4.5
44,36,2.5
45,21,3.0
45,15,3.5
45,36,3.5
45,7,4.5
45,2,4.5
45,18,3.0
46,17,3.0
46,30,3.0
46,23,2.0
46,38,2.5
46,36,3.0
46,19,2.0
46,26,2.0
46,13,3.0
46,6,2.5
46,18,2.5
46,9,3.5
46,14,3.0
46,39,2.0
47,17,3.5
47,31,3.0
47,6,1.5
47,32,2.5
47,22,2.5
47,16,3.5
47,12,1.5
48,20,3.5
48,13,5.0
48,28,5.0
48,37,5.0
48,36,2.5
48,17,4.5
48,31,3.0
48,23,4.5
48,25,2.5
48,38,3.5
48,11,3.0
48,21,4.5
48,4,3.5
48,8,4.0
49,3,4.5
49,24,4.0
49,36,3.0
49,40,4.0
49,37,4.5
49,33,4.0
49,21,4.0
49,8,2.5
49,1,5.0
50,23,3.0
50,1,3.0
50,3,4.0
50,39,3.0
50,34,1.5
50,20,1.5
50,11,2.0
50,13,2.0
